Gene stable ID	Gene name	Transcript stable ID	NCBI gene (formerly Entrezgene) ID
ENSRNOG00000050885	LOC100910526	ENSRNOT00000092159	100910526
ENSRNOG00000050885	LOC100910526	ENSRNOT00000040879	100910526
ENSRNOG00000050885	LOC100910526	ENSRNOT00000092159	171072
ENSRNOG00000050885	LOC100910526	ENSRNOT00000040879	171072
ENSRNOG00000013557	Lancl1	ENSRNOT00000018293	114515
ENSRNOG00000013557	Lancl1	ENSRNOT00000075954	114515
ENSRNOG00000006829	AABR07052125.1	ENSRNOT00000008925	
ENSRNOG00000000480	Phf1	ENSRNOT00000091364	294287
ENSRNOG00000000480	Phf1	ENSRNOT00000092254	294287
ENSRNOG00000000480	Phf1	ENSRNOT00000092667	294287
ENSRNOG00000000480	Phf1	ENSRNOT00000092650	294287
ENSRNOG00000000480	Phf1	ENSRNOT00000092668	294287
ENSRNOG00000000480	Phf1	ENSRNOT00000059548	294287
ENSRNOG00000000480	Phf1	ENSRNOT00000092247	294287
ENSRNOG00000052220	Ccdc83	ENSRNOT00000078883	680270
ENSRNOG00000025235	Tmem130	ENSRNOT00000039149	304280
ENSRNOG00000016539	Mxd3	ENSRNOT00000021946	361208
ENSRNOG00000016539	Mxd3	ENSRNOT00000077031	361208
ENSRNOG00000016539	Mxd3	ENSRNOT00000076436	361208
ENSRNOG00000016539	Mxd3	ENSRNOT00000022221	361208
ENSRNOG00000016539	Mxd3	ENSRNOT00000021946	252915
ENSRNOG00000016539	Mxd3	ENSRNOT00000077031	252915
ENSRNOG00000016539	Mxd3	ENSRNOT00000076436	252915
ENSRNOG00000016539	Mxd3	ENSRNOT00000022221	252915
ENSRNOG00000021468	Grm8	ENSRNOT00000056996	60590
ENSRNOG00000021468	Grm8	ENSRNOT00000075324	60590
ENSRNOG00000021468	Grm8	ENSRNOT00000031714	60590
ENSRNOG00000009766	Gpr180	ENSRNOT00000078103	306165
ENSRNOG00000009766	Gpr180	ENSRNOT00000077047	306165
ENSRNOG00000009766	Gpr180	ENSRNOT00000013329	306165
ENSRNOG00000016410	Prelid1	ENSRNOT00000091320	290995
ENSRNOG00000016410	Prelid1	ENSRNOT00000076622	290995
ENSRNOG00000016410	Prelid1	ENSRNOT00000022134	290995
ENSRNOG00000051139	AABR07021545.1	ENSRNOT00000076171	
ENSRNOG00000002548	Tnn	ENSRNOT00000076616	304913
ENSRNOG00000002548	Tnn	ENSRNOT00000003452	304913
ENSRNOG00000062239	AABR07040780.1	ENSRNOT00000093267	
ENSRNOG00000018052	Cnksr3	ENSRNOT00000082931	308113
ENSRNOG00000018052	Cnksr3	ENSRNOT00000024418	308113
ENSRNOG00000025433	Cphx1	ENSRNOT00000035065	502042
ENSRNOG00000025433	Cphx1	ENSRNOT00000085044	502042
ENSRNOG00000025433	Cphx1	ENSRNOT00000082024	502042
ENSRNOG00000001794	Muc13	ENSRNOT00000002444	207126
ENSRNOG00000001794	Muc13	ENSRNOT00000076114	207126
ENSRNOG00000011067	AABR07040782.1	ENSRNOT00000014702	
ENSRNOG00000051025	AABR07021546.1	ENSRNOT00000075859	
ENSRNOG00000011081	Serpina7	ENSRNOT00000093401	81806
ENSRNOG00000011081	Serpina7	ENSRNOT00000014739	81806
ENSRNOG00000040195	RGD1559960	ENSRNOT00000047615	501084
ENSRNOG00000040195	RGD1559960	ENSRNOT00000089376	501084
ENSRNOG00000040195	RGD1559960	ENSRNOT00000065839	501084
ENSRNOG00000000798	Gnl1	ENSRNOT00000050373	309593
ENSRNOG00000000798	Gnl1	ENSRNOT00000083617	309593
ENSRNOG00000000798	Gnl1	ENSRNOT00000078699	309593
ENSRNOG00000000798	Gnl1	ENSRNOT00000090999	309593
ENSRNOG00000020339	Neurl1	ENSRNOT00000076452	309459
ENSRNOG00000020339	Neurl1	ENSRNOT00000054696	309459
ENSRNOG00000006642	Yipf6	ENSRNOT00000076699	363476
