Gene stable ID	Transcript stable ID	Gene name	KEGG Pathway and Enzyme ID	NCBI gene ID
ENSMUSG00000064341	ENSMUST00000082392	mt-Nd1		17716
ENSMUSG00000064345	ENSMUST00000082396	mt-Nd2	00190+7.1.1.2	17717
ENSMUSG00000064351	ENSMUST00000082402	mt-Co1	00190+1.9.3.1	17708
ENSMUSG00000064354	ENSMUST00000082405	mt-Co2		17709
ENSMUSG00000064356	ENSMUST00000082407	mt-Atp8		17706
ENSMUSG00000064357	ENSMUST00000082408	mt-Atp6		17705
ENSMUSG00000064358	ENSMUST00000082409	mt-Co3		17710
ENSMUSG00000064360	ENSMUST00000082411	mt-Nd3		17718
ENSMUSG00000065947	ENSMUST00000084013	mt-Nd4l		17720
ENSMUSG00000064363	ENSMUST00000082414	mt-Nd4	00190+7.1.1.2	17719
ENSMUSG00000064367	ENSMUST00000082418	mt-Nd5	00190+7.1.1.2	17721
ENSMUSG00000064368	ENSMUST00000082419	mt-Nd6		17722
ENSMUSG00000064370	ENSMUST00000082421	mt-Cytb		17711
ENSMUSG00000079497	ENSMUST00000129574	Gm13420		433415
ENSMUSG00000095806	ENSMUST00000105209	Vmn1r244		435949
ENSMUSG00000054497	ENSMUST00000067597	Tas2r130		
ENSMUSG00000024276	ENSMUST00000225682	Zfp397		69256
ENSMUSG00000095797	ENSMUST00000180788	Gm8246		666706
ENSMUSG00000095797	ENSMUST00000179411	Gm8246		666706
ENSMUSG00000100249	ENSMUST00000189190	Btbd35f23		100861966
ENSMUSG00000059991	ENSMUST00000071782	Nptx2		53324
ENSMUSG00000024276	ENSMUST00000060762	Zfp397		69256
ENSMUSG00000053389	ENSMUST00000065781	Tas2r107		387342
ENSMUSG00000109649	ENSMUST00000211339	Gm45521		
ENSMUSG00000111259	ENSMUST00000215312	Olfr1328		
ENSMUSG00000096426	ENSMUST00000178080	Btbd35f24		
ENSMUSG00000111259	ENSMUST00000081960	Olfr1328		
ENSMUSG00000025370	ENSMUST00000228307	Cdh9		12565
ENSMUSG00000051034	ENSMUST00000049778	Zfp11		22648
ENSMUSG00000062342	ENSMUST00000071873	Serpinb9e		20710
ENSMUSG00000015852	ENSMUST00000090986	Fcrls		80891
ENSMUSG00000071341	ENSMUST00000095759	Egr4		13656
ENSMUSG00000025370	ENSMUST00000026432	Cdh9		12565
ENSMUSG00000079343	ENSMUST00000068797	C1s2		317677
ENSMUSG00000096386	ENSMUST00000177815	Vmn1r100		
ENSMUSG00000015852	ENSMUST00000146512	Fcrls		80891
ENSMUSG00000045251	ENSMUST00000106300	Zfp688		69234
ENSMUSG00000079343	ENSMUST00000218020	C1s2		317677
ENSMUSG00000022337	ENSMUST00000022962	Emc2		66736
ENSMUSG00000031710	ENSMUST00000034146	Ucp1		22227
ENSMUSG00000045251	ENSMUST00000148483	Zfp688		69234
ENSMUSG00000070366	ENSMUST00000094018	Plpp4	00561+3.1.3.4	381925
ENSMUSG00000070366	ENSMUST00000094018	Plpp4	00564+3.1.3.4	381925
ENSMUSG00000070366	ENSMUST00000094018	Plpp4	00565+3.1.3.4	381925
ENSMUSG00000070366	ENSMUST00000094018	Plpp4	00600+3.1.3.4	381925
ENSMUSG00000049929	ENSMUST00000060576	Lpar4		78134
ENSMUSG00000069299	ENSMUST00000228243	Vmn1r188		
ENSMUSG00000045251	ENSMUST00000126756	Zfp688		69234
ENSMUSG00000079421	ENSMUST00000113010	4930402F06Rik		74854
ENSMUSG00000069299	ENSMUST00000226680	Vmn1r188		
ENSMUSG00000030213	ENSMUST00000203988	Atf7ip		54343
ENSMUSG00000034219	ENSMUST00000182386	Sept14		
ENSMUSG00000045251	ENSMUST00000129038	Zfp688		69234
ENSMUSG00000094545	ENSMUST00000164245	Vmn1r101		
ENSMUSG00000029368	ENSMUST00000031314	Alb		11657
ENSMUSG00000069299	ENSMUST00000091739	Vmn1r188		
ENSMUSG00000094838	ENSMUST00000190516	Gm20828		100040187
ENSMUSG00000079421	ENSMUST00000113009	4930402F06Rik		74854
ENSMUSG00000094838	ENSMUST00000170889	Gm20828		100040187
ENSMUSG00000034219	ENSMUST00000042266	Sept14		
ENSMUSG00000095852	ENSMUST00000189964	Gm10256		
ENSMUSG00000118125	ENSMUST00000160852	Gm50387		
ENSMUSG00000047671	ENSMUST00000134074	Tctex1d4		242646
ENSMUSG00000070366	ENSMUST00000205630	Plpp4		381925
ENSMUSG00000059663	ENSMUST00000082357	Samt2b		75071
ENSMUSG00000095852	ENSMUST00000188114	Gm10256		
ENSMUSG00000070366	ENSMUST00000205896	Plpp4	00561+3.1.3.4	381925
ENSMUSG00000070366	ENSMUST00000205896	Plpp4	00564+3.1.3.4	381925
ENSMUSG00000070366	ENSMUST00000205896	Plpp4	00565+3.1.3.4	381925
ENSMUSG00000070366	ENSMUST00000205896	Plpp4	00600+3.1.3.4	381925
ENSMUSG00000069171	ENSMUST00000091458	Nr2f1		13865
ENSMUSG00000018907	ENSMUST00000019051	Alox12e		11685
ENSMUSG00000109903	ENSMUST00000211738	Gm28710		
ENSMUSG00000047671	ENSMUST00000062206	Tctex1d4		242646
ENSMUSG00000095852	ENSMUST00000179404	Gm10256		
ENSMUSG00000024939	ENSMUST00000116558	Fam89b		17826
ENSMUSG00000015854	ENSMUST00000015998	Cd5l		11801
ENSMUSG00000069171	ENSMUST00000150498	Nr2f1		13865
ENSMUSG00000043388	ENSMUST00000061446	Tmem130		243339
ENSMUSG00000006611	ENSMUST00000151243	Hfe		15216
ENSMUSG00000047671	ENSMUST00000144269	Tctex1d4		242646
ENSMUSG00000069171	ENSMUST00000127137	Nr2f1		13865
ENSMUSG00000042888	ENSMUST00000057718	Prr30		76627
ENSMUSG00000034898	ENSMUST00000239133	Filip1		70598
ENSMUSG00000094762	ENSMUST00000098744	Gm10670		
ENSMUSG00000099611	ENSMUST00000227357	Vmn1r189		
ENSMUSG00000037022	ENSMUST00000048718	Mmaa		109136
ENSMUSG00000042888	ENSMUST00000187304	Prr30		76627
ENSMUSG00000069171	ENSMUST00000125176	Nr2f1		13865
ENSMUSG00000024939	ENSMUST00000099955	Fam89b		17826
ENSMUSG00000099611	ENSMUST00000228428	Vmn1r189		
ENSMUSG00000034898	ENSMUST00000093811	Filip1		70598
ENSMUSG00000042529	ENSMUST00000089184	Kcnj12		16515
ENSMUSG00000037022	ENSMUST00000210231	Mmaa		109136
ENSMUSG00000099611	ENSMUST00000186062	Vmn1r189		
ENSMUSG00000069171	ENSMUST00000224798	Nr2f1		13865
ENSMUSG00000042607	ENSMUST00000043294	Asb4		65255
ENSMUSG00000008601	ENSMUST00000008745	Rab25		53868
ENSMUSG00000056493	ENSMUST00000198422	Foxk1		17425
ENSMUSG00000034898	ENSMUST00000172973	Filip1		70598
ENSMUSG00000042529	ENSMUST00000041944	Kcnj12		16515
ENSMUSG00000094558	ENSMUST00000105020	Btbd35f11		
ENSMUSG00000025051	ENSMUST00000026029	Samt4		75185
ENSMUSG00000096663	ENSMUST00000163461	Vmn1r103		
ENSMUSG00000029123	ENSMUST00000094836	Stk32b		64293
ENSMUSG00000042607	ENSMUST00000183358	Asb4		65255
ENSMUSG00000008601	ENSMUST00000131775	Rab25		53868
ENSMUSG00000038256	ENSMUST00000046521	Bcl9		77578
ENSMUSG00000034898	ENSMUST00000217264	Filip1		70598
ENSMUSG00000042529	ENSMUST00000108717	Kcnj12		16515
ENSMUSG00000024939	ENSMUST00000161368	Fam89b		17826
ENSMUSG00000074449	ENSMUST00000084046	Gm15319		
ENSMUSG00000096903	ENSMUST00000169689	Vmn1r104		
ENSMUSG00000072888	ENSMUST00000101137	Samt2		
ENSMUSG00000053080	ENSMUST00000159348	2700081O15Rik		108899
ENSMUSG00000091827	ENSMUST00000166086	Speer4f2		100041749
ENSMUSG00000056493	ENSMUST00000072837	Foxk1		17425
ENSMUSG00000006611	ENSMUST00000091706	Hfe		15216
ENSMUSG00000038256	ENSMUST00000166341	Bcl9		77578
ENSMUSG00000053080	ENSMUST00000161907	2700081O15Rik		108899
ENSMUSG00000079478	ENSMUST00000025885	Znrd2		56390
ENSMUSG00000006611	ENSMUST00000091707	Hfe		15216
ENSMUSG00000053080	ENSMUST00000191580	2700081O15Rik		108899
ENSMUSG00000006611	ENSMUST00000006787	Hfe		15216
ENSMUSG00000002908	ENSMUST00000110078	Kcnn1		84036
ENSMUSG00000053080	ENSMUST00000159346	2700081O15Rik		108899
ENSMUSG00000002908	ENSMUST00000212086	Kcnn1		84036
ENSMUSG00000079478	ENSMUST00000159693	Znrd2		56390
ENSMUSG00000039067	ENSMUST00000044106	Psmd7		17463
ENSMUSG00000002908	ENSMUST00000212611	Kcnn1		84036
ENSMUSG00000079478	ENSMUST00000162976	Znrd2		56390
ENSMUSG00000062310	ENSMUST00000067625	Glrp1		14659
ENSMUSG00000002908	ENSMUST00000212243	Kcnn1		84036
ENSMUSG00000014907	ENSMUST00000118009	Naf1		234344
ENSMUSG00000094658	ENSMUST00000171534	Rbmy		19657
ENSMUSG00000002908	ENSMUST00000212509	Kcnn1		84036
ENSMUSG00000002908	ENSMUST00000212084	Kcnn1		84036
ENSMUSG00000028974	ENSMUST00000103216	Dffa		13347
ENSMUSG00000014907	ENSMUST00000212916	Naf1		234344
ENSMUSG00000002908	ENSMUST00000212414	Kcnn1		84036
ENSMUSG00000096746	ENSMUST00000179789	Trav7d-3		
ENSMUSG00000094658	ENSMUST00000100360	Rbmy		19657
ENSMUSG00000052469	ENSMUST00000233944	Tcp10c		100041352
ENSMUSG00000002908	ENSMUST00000110081	Kcnn1		84036
ENSMUSG00000025279	ENSMUST00000026315	Dnase1l3		13421
ENSMUSG00000039774	ENSMUST00000045041	Galnt12		230145
ENSMUSG00000095387	ENSMUST00000180717	Trav6d-4		
ENSMUSG00000004768	ENSMUST00000088287	Rab23		19335
ENSMUSG00000067199	ENSMUST00000087155	Frat1		14296
ENSMUSG00000095387	ENSMUST00000183820	Trav6d-4		
ENSMUSG00000054753	ENSMUST00000171749	AU018091		245128
ENSMUSG00000094578	ENSMUST00000181603	Gm3187		102636792
ENSMUSG00000028974	ENSMUST00000030816	Dffa		13347
ENSMUSG00000060176	ENSMUST00000225388	Kif27		75050
ENSMUSG00000032212	ENSMUST00000216816	Sltm		66660
ENSMUSG00000095916	ENSMUST00000235950	Vmn1r191		
ENSMUSG00000029235	ENSMUST00000122213	Pdcl2		79455
ENSMUSG00000094578	ENSMUST00000178429	Gm3187		102636792
ENSMUSG00000054753	ENSMUST00000203937	AU018091		245128
ENSMUSG00000039774	ENSMUST00000107744	Galnt12		230145
ENSMUSG00000095916	ENSMUST00000237107	Vmn1r191		
ENSMUSG00000095916	ENSMUST00000072369	Vmn1r191		
ENSMUSG00000032212	ENSMUST00000213808	Sltm		66660
ENSMUSG00000047604	ENSMUST00000059231	Frat2		212398
ENSMUSG00000054321	ENSMUST00000234789	Taf4b		
ENSMUSG00000060594	ENSMUST00000217212	Layn		244864
ENSMUSG00000022383	ENSMUST00000109423	Ppara		19013
ENSMUSG00000030213	ENSMUST00000032335	Atf7ip		54343
ENSMUSG00000013921	ENSMUST00000150892	Clip3		76686
ENSMUSG00000004768	ENSMUST00000138024	Rab23		19335
ENSMUSG00000032212	ENSMUST00000049263	Sltm		66660
ENSMUSG00000060176	ENSMUST00000224694	Kif27		75050
ENSMUSG00000013921	ENSMUST00000126216	Clip3		76686
ENSMUSG00000060594	ENSMUST00000214993	Layn		244864
ENSMUSG00000054321	ENSMUST00000169862	Taf4b		
ENSMUSG00000030213	ENSMUST00000185724	Atf7ip		54343
ENSMUSG00000060176	ENSMUST00000043605	Kif27		75050
ENSMUSG00000030213	ENSMUST00000186577	Atf7ip		54343
ENSMUSG00000060594	ENSMUST00000098782	Layn		244864
ENSMUSG00000022383	ENSMUST00000109422	Ppara		19013
ENSMUSG00000053091	ENSMUST00000153007	Lins1		72635
ENSMUSG00000052469	ENSMUST00000233884	Tcp10c		100041352
ENSMUSG00000032212	ENSMUST00000217593	Sltm		66660
ENSMUSG00000038327	ENSMUST00000075515	Serpinb9f		20709
ENSMUSG00000004768	ENSMUST00000115174	Rab23		19335
ENSMUSG00000029235	ENSMUST00000031145	Pdcl2		79455
ENSMUSG00000032381	ENSMUST00000034945	Ciao2a		68250
ENSMUSG00000032056	ENSMUST00000214452	Btg4		56057
ENSMUSG00000028044	ENSMUST00000029679	Cks1b		
ENSMUSG00000022383	ENSMUST00000057979	Ppara		19013
ENSMUSG00000030213	ENSMUST00000187429	Atf7ip		54343
ENSMUSG00000094876	ENSMUST00000105019	Btbd35f18		
ENSMUSG00000052469	ENSMUST00000097403	Tcp10c		100041352
ENSMUSG00000021952	ENSMUST00000174545	Xpo4		57258
ENSMUSG00000030213	ENSMUST00000186742	Atf7ip		54343
ENSMUSG00000095675	ENSMUST00000178864	Ccl21b		100042493
ENSMUSG00000030213	ENSMUST00000189535	Atf7ip		54343
ENSMUSG00000028044	ENSMUST00000107422	Cks1b		
ENSMUSG00000028044	ENSMUST00000183484	Cks1b		
ENSMUSG00000011179	ENSMUST00000171737	Odc1		18263
ENSMUSG00000035773	ENSMUST00000045529	Kiss1r		114229
ENSMUSG00000020463	ENSMUST00000102856	Ppp4r3b		104570
ENSMUSG00000028243	ENSMUST00000029907	Ubxn2b		
ENSMUSG00000013921	ENSMUST00000014065	Clip3		76686
ENSMUSG00000030213	ENSMUST00000203178	Atf7ip		54343
ENSMUSG00000095716	ENSMUST00000178621	Btbd35f10		
ENSMUSG00000013921	ENSMUST00000144508	Clip3		76686
ENSMUSG00000029563	ENSMUST00000128567	Foxp2		114142
ENSMUSG00000011179	ENSMUST00000222617	Odc1		18263
ENSMUSG00000032056	ENSMUST00000213680	Btg4		56057
ENSMUSG00000035773	ENSMUST00000219745	Kiss1r		114229
ENSMUSG00000029563	ENSMUST00000115470	Foxp2		114142
ENSMUSG00000090202	ENSMUST00000049703	4930503B20Rik		75015
ENSMUSG00000011179	ENSMUST00000221613	Odc1		18263
ENSMUSG00000035329	ENSMUST00000043204	Fbxo33		70611
ENSMUSG00000029563	ENSMUST00000154448	Foxp2		114142
ENSMUSG00000047139	ENSMUST00000058714	Cd24a		12484
ENSMUSG00000031145	ENSMUST00000033485	Prickle3		54630
ENSMUSG00000025337	ENSMUST00000026387	Sbds		66711
ENSMUSG00000041247	ENSMUST00000081880	Lamp3		239739
ENSMUSG00000021952	ENSMUST00000174152	Xpo4		57258
ENSMUSG00000032056	ENSMUST00000114431	Btg4		56057
ENSMUSG00000025040	ENSMUST00000026016	Fundc1		
ENSMUSG00000035329	ENSMUST00000162855	Fbxo33		70611
ENSMUSG00000047139	ENSMUST00000214476	Cd24a		12484
ENSMUSG00000032056	ENSMUST00000213117	Btg4		56057
ENSMUSG00000020463	ENSMUST00000020755	Ppp4r3b		104570
ENSMUSG00000025040	ENSMUST00000177213	Fundc1		
ENSMUSG00000025337	ENSMUST00000139211	Sbds		66711
ENSMUSG00000090202	ENSMUST00000149825	4930503B20Rik		75015
ENSMUSG00000035329	ENSMUST00000161351	Fbxo33		70611
ENSMUSG00000025337	ENSMUST00000125625	Sbds		66711
ENSMUSG00000038521	ENSMUST00000160505	C1s1		50908
ENSMUSG00000020463	ENSMUST00000156280	Ppp4r3b		104570
ENSMUSG00000031145	ENSMUST00000129662	Prickle3		54630
ENSMUSG00000079536	ENSMUST00000114125	Ctag2l1		628456
ENSMUSG00000020463	ENSMUST00000127621	Ppp4r3b		104570
ENSMUSG00000028680	ENSMUST00000076859	Plk3		12795
ENSMUSG00000048439	ENSMUST00000049887	Nupl2		231042
ENSMUSG00000066760	ENSMUST00000071399	Psg16		26436
ENSMUSG00000071356	ENSMUST00000204873	Reg3b		18489
ENSMUSG00000025040	ENSMUST00000176638	Fundc1		
ENSMUSG00000021952	ENSMUST00000172524	Xpo4		57258
ENSMUSG00000028680	ENSMUST00000147730	Plk3		12795
ENSMUSG00000048439	ENSMUST00000115101	Nupl2		231042
ENSMUSG00000038521	ENSMUST00000162443	C1s1		50908
ENSMUSG00000025040	ENSMUST00000142638	Fundc1		
ENSMUSG00000032057	ENSMUST00000170947	4833427G06Rik		235345
ENSMUSG00000066760	ENSMUST00000118367	Psg16		26436
ENSMUSG00000020463	ENSMUST00000148759	Ppp4r3b		104570
ENSMUSG00000078817	ENSMUST00000108653	Nlrp12		378425
ENSMUSG00000078817	ENSMUST00000108653	Nlrp12		115489386
ENSMUSG00000033715	ENSMUST00000118717	Akr1c14		105387
ENSMUSG00000048652	ENSMUST00000125965	Samd13		75015
ENSMUSG00000048652	ENSMUST00000124931	Samd13		75015
ENSMUSG00000031551	ENSMUST00000110667	Ido1	00380+1.13.11.11	15930
ENSMUSG00000056091	ENSMUST00000069994	St3gal5		20454
ENSMUSG00000057967	ENSMUST00000109363	Fgf18		
ENSMUSG00000038521	ENSMUST00000159463	C1s1		50908
ENSMUSG00000063281	ENSMUST00000074941	Zfp35		22694
ENSMUSG00000048652	ENSMUST00000147113	Samd13		75015
ENSMUSG00000033715	ENSMUST00000147180	Akr1c14		105387
ENSMUSG00000071356	ENSMUST00000096904	Reg3b		18489
ENSMUSG00000021952	ENSMUST00000089482	Xpo4		57258
ENSMUSG00000035781	ENSMUST00000045628	R3hdm4		109284
ENSMUSG00000066760	ENSMUST00000152671	Psg16		26436
ENSMUSG00000048652	ENSMUST00000197989	Samd13		75015
ENSMUSG00000022401	ENSMUST00000163754	Xpnpep3		321003
ENSMUSG00000052981	ENSMUST00000065118	Ube2ql1		76980
ENSMUSG00000038521	ENSMUST00000162844	C1s1		50908
ENSMUSG00000071356	ENSMUST00000203266	Reg3b		18489
ENSMUSG00000078511	ENSMUST00000105766	Pramef25		
ENSMUSG00000033715	ENSMUST00000041768	Akr1c14		105387
ENSMUSG00000031146	ENSMUST00000033486	Plp2		18824
ENSMUSG00000031551	ENSMUST00000033956	Ido1	00380+1.13.11.11	15930
ENSMUSG00000035781	ENSMUST00000218970	R3hdm4		109284
ENSMUSG00000099740	ENSMUST00000185340	Gm28897		
ENSMUSG00000098470	ENSMUST00000184647	C1rb		
ENSMUSG00000051392	ENSMUST00000199297	Olfr1402		
ENSMUSG00000057967	ENSMUST00000020507	Fgf18		
ENSMUSG00000056091	ENSMUST00000114112	St3gal5		20454
ENSMUSG00000051392	ENSMUST00000060912	Olfr1402		
ENSMUSG00000025047	ENSMUST00000072141	Pdcd11		
ENSMUSG00000035781	ENSMUST00000218750	R3hdm4		109284
ENSMUSG00000056091	ENSMUST00000187007	St3gal5		20454
ENSMUSG00000062761	ENSMUST00000202061	Zfp512		269639
ENSMUSG00000035781	ENSMUST00000217976	R3hdm4		109284
ENSMUSG00000056091	ENSMUST00000188366	St3gal5		20454
ENSMUSG00000035781	ENSMUST00000219867	R3hdm4		109284
ENSMUSG00000035781	ENSMUST00000171416	R3hdm4		109284
ENSMUSG00000051518	ENSMUST00000052499	Rps19bp1		66538
ENSMUSG00000022401	ENSMUST00000041609	Xpnpep3		321003
ENSMUSG00000047619	ENSMUST00000051706	Ddi1		
ENSMUSG00000051518	ENSMUST00000230189	Rps19bp1		66538
ENSMUSG00000028857	ENSMUST00000105907	Tmem222		52174
ENSMUSG00000054676	ENSMUST00000178207	1600014C10Rik		72244
ENSMUSG00000022401	ENSMUST00000165258	Xpnpep3		321003
ENSMUSG00000033033	ENSMUST00000035822	Calhm2		
ENSMUSG00000054676	ENSMUST00000179525	1600014C10Rik		72244
ENSMUSG00000031131	ENSMUST00000033465	Vgll1		170828
ENSMUSG00000030126	ENSMUST00000088896	Tmcc1		330401
ENSMUSG00000078510	ENSMUST00000105763	Gm13101		
ENSMUSG00000028857	ENSMUST00000137622	Tmem222		52174
ENSMUSG00000033033	ENSMUST00000140512	Calhm2		
ENSMUSG00000010142	ENSMUST00000010286	Tnfrsf13b		57916
ENSMUSG00000030126	ENSMUST00000204353	Tmcc1		330401
ENSMUSG00000054676	ENSMUST00000178876	1600014C10Rik		72244
ENSMUSG00000031131	ENSMUST00000141936	Vgll1		170828
ENSMUSG00000028857	ENSMUST00000139030	Tmem222		52174
ENSMUSG00000047108	ENSMUST00000057236	Dnajb7		
ENSMUSG00000031131	ENSMUST00000114746	Vgll1		170828
ENSMUSG00000030126	ENSMUST00000032222	Tmcc1		330401
ENSMUSG00000054676	ENSMUST00000177983	1600014C10Rik		72244
ENSMUSG00000010142	ENSMUST00000146033	Tnfrsf13b		57916
ENSMUSG00000074768	ENSMUST00000099309	Bhmt		
ENSMUSG00000035395	ENSMUST00000113959	Dcaf8l		18630
ENSMUSG00000054676	ENSMUST00000179992	1600014C10Rik		72244
ENSMUSG00000010142	ENSMUST00000139422	Tnfrsf13b		57916
ENSMUSG00000031131	ENSMUST00000114745	Vgll1		170828
ENSMUSG00000028857	ENSMUST00000134781	Tmem222		52174
ENSMUSG00000054676	ENSMUST00000179503	1600014C10Rik		72244
ENSMUSG00000035395	ENSMUST00000113960	Dcaf8l		18630
ENSMUSG00000000078	ENSMUST00000000080	Klf6		23849
ENSMUSG00000030126	ENSMUST00000172510	Tmcc1		330401
ENSMUSG00000002020	ENSMUST00000002073	Ltbp2		16997
ENSMUSG00000075378	ENSMUST00000216663	Olfr361		
ENSMUSG00000042408	ENSMUST00000046751	Zmym6		
ENSMUSG00000002020	ENSMUST00000163189	Ltbp2		16997
ENSMUSG00000030126	ENSMUST00000173110	Tmcc1		330401
ENSMUSG00000075378	ENSMUST00000214969	Olfr361		
ENSMUSG00000000078	ENSMUST00000222857	Klf6		23849
ENSMUSG00000054676	ENSMUST00000067854	1600014C10Rik		72244
ENSMUSG00000054676	ENSMUST00000165308	1600014C10Rik		72244
ENSMUSG00000030126	ENSMUST00000173140	Tmcc1		330401
ENSMUSG00000062327	ENSMUST00000074667	T		20997
ENSMUSG00000075378	ENSMUST00000100145	Olfr361		
ENSMUSG00000042408	ENSMUST00000094713	Zmym6		
ENSMUSG00000039782	ENSMUST00000166713	Cpeb2		231207
ENSMUSG00000046449	ENSMUST00000118314	Nexmif		245555
ENSMUSG00000003418	ENSMUST00000003509	St8sia6		241230
ENSMUSG00000030126	ENSMUST00000173548	Tmcc1		330401
ENSMUSG00000062327	ENSMUST00000136922	T		20997
ENSMUSG00000101381	ENSMUST00000185755	Btbd35f16		
ENSMUSG00000021959	ENSMUST00000022531	Lats2	04714+2.7.11.1	50523
ENSMUSG00000021959	ENSMUST00000022531	Lats2	05165+2.7.11.1	50523
ENSMUSG00000021959	ENSMUST00000022531	Lats2	04150+2.7.11.1	50523
ENSMUSG00000021959	ENSMUST00000022531	Lats2	04151+2.7.11.1	50523
ENSMUSG00000021959	ENSMUST00000022531	Lats2	05170+2.7.11.1	50523
ENSMUSG00000021959	ENSMUST00000022531	Lats2	04926+2.7.11.1	50523
ENSMUSG00000021959	ENSMUST00000022531	Lats2	05163+2.7.11.1	50523
ENSMUSG00000002020	ENSMUST00000166383	Ltbp2		16997
ENSMUSG00000046449	ENSMUST00000056502	Nexmif		245555
ENSMUSG00000030126	ENSMUST00000172909	Tmcc1		330401
ENSMUSG00000002020	ENSMUST00000163214	Ltbp2		16997
ENSMUSG00000021458	ENSMUST00000091560	Aopep		
ENSMUSG00000002020	ENSMUST00000165141	Ltbp2		16997
ENSMUSG00000062327	ENSMUST00000177118	T		20997
ENSMUSG00000030126	ENSMUST00000173031	Tmcc1		330401
ENSMUSG00000021959	ENSMUST00000174213	Lats2		50523
ENSMUSG00000046449	ENSMUST00000087879	Nexmif		245555
ENSMUSG00000021959	ENSMUST00000173990	Lats2	04714+2.7.11.1	50523
ENSMUSG00000021959	ENSMUST00000173990	Lats2	05165+2.7.11.1	50523
ENSMUSG00000021959	ENSMUST00000173990	Lats2	04150+2.7.11.1	50523
ENSMUSG00000021959	ENSMUST00000173990	Lats2	04151+2.7.11.1	50523
ENSMUSG00000021959	ENSMUST00000173990	Lats2	05170+2.7.11.1	50523
ENSMUSG00000021959	ENSMUST00000173990	Lats2	04926+2.7.11.1	50523
ENSMUSG00000021959	ENSMUST00000173990	Lats2	05163+2.7.11.1	50523
ENSMUSG00000049800	ENSMUST00000093292	Sertad2		58172
ENSMUSG00000039782	ENSMUST00000169035	Cpeb2		231207
ENSMUSG00000021959	ENSMUST00000173964	Lats2	04714+2.7.11.1	50523
ENSMUSG00000021959	ENSMUST00000173964	Lats2	05165+2.7.11.1	50523
ENSMUSG00000021959	ENSMUST00000173964	Lats2	04150+2.7.11.1	50523
ENSMUSG00000021959	ENSMUST00000173964	Lats2	04151+2.7.11.1	50523
ENSMUSG00000021959	ENSMUST00000173964	Lats2	05170+2.7.11.1	50523
ENSMUSG00000021959	ENSMUST00000173964	Lats2	04926+2.7.11.1	50523
ENSMUSG00000021959	ENSMUST00000173964	Lats2	05163+2.7.11.1	50523
ENSMUSG00000039710	ENSMUST00000037321	Slc7a12		140918
ENSMUSG00000039782	ENSMUST00000114065	Cpeb2		231207
ENSMUSG00000035049	ENSMUST00000038677	Rrp12		107094
ENSMUSG00000021959	ENSMUST00000174166	Lats2		50523
ENSMUSG00000010142	ENSMUST00000101103	Tnfrsf13b		57916
ENSMUSG00000002020	ENSMUST00000110254	Ltbp2		16997
ENSMUSG00000049800	ENSMUST00000109586	Sertad2		58172
ENSMUSG00000070737	ENSMUST00000106097	Tmem35b		100039968
ENSMUSG00000039782	ENSMUST00000114066	Cpeb2		231207
ENSMUSG00000090487	ENSMUST00000170521	Gm2888		100040657
ENSMUSG00000072100	ENSMUST00000096852	Cldn34b1		100040937
ENSMUSG00000026087	ENSMUST00000027256	Mrpl30		107734
ENSMUSG00000090487	ENSMUST00000178577	Gm2888		100040657
ENSMUSG00000070737	ENSMUST00000094712	Tmem35b		100039968
ENSMUSG00000039710	ENSMUST00000120484	Slc7a12		140918
ENSMUSG00000021959	ENSMUST00000038381	Lats2		50523
ENSMUSG00000049800	ENSMUST00000109585	Sertad2		58172
ENSMUSG00000021959	ENSMUST00000077981	Lats2		50523
ENSMUSG00000032006	ENSMUST00000058692	Pdgfd		71785
ENSMUSG00000039710	ENSMUST00000120801	Slc7a12		140918
ENSMUSG00000026087	ENSMUST00000193673	Mrpl30		107734
ENSMUSG00000053091	ENSMUST00000121777	Lins1		72635
ENSMUSG00000021959	ENSMUST00000173732	Lats2		50523
ENSMUSG00000031028	ENSMUST00000207583	Tub		22141
ENSMUSG00000051469	ENSMUST00000066497	Zfp24		59057
ENSMUSG00000021458	ENSMUST00000220863	Aopep		
ENSMUSG00000027719	ENSMUST00000144629	Adad1		
ENSMUSG00000012640	ENSMUST00000012796	Zfp715		69930
ENSMUSG00000026087	ENSMUST00000160082	Mrpl30		107734
ENSMUSG00000051469	ENSMUST00000153337	Zfp24		59057
ENSMUSG00000053091	ENSMUST00000150071	Lins1		72635
ENSMUSG00000032006	ENSMUST00000168039	Pdgfd		71785
ENSMUSG00000021340	ENSMUST00000021773	Gpld1	00563+3.1.4.50	14756
ENSMUSG00000026087	ENSMUST00000194857	Mrpl30		107734
ENSMUSG00000027719	ENSMUST00000029274	Adad1		
ENSMUSG00000012640	ENSMUST00000048015	Zfp715		69930
ENSMUSG00000051469	ENSMUST00000148525	Zfp24		59057
ENSMUSG00000026087	ENSMUST00000195373	Mrpl30		107734
ENSMUSG00000032006	ENSMUST00000214892	Pdgfd		71785
ENSMUSG00000012640	ENSMUST00000107986	Zfp715		69930
ENSMUSG00000114942	ENSMUST00000174694	Gm49361		
ENSMUSG00000021458	ENSMUST00000221676	Aopep		
ENSMUSG00000062761	ENSMUST00000076264	Zfp512		269639
ENSMUSG00000027719	ENSMUST00000147773	Adad1		
ENSMUSG00000012640	ENSMUST00000145622	Zfp715		69930
ENSMUSG00000057754	ENSMUST00000076756	Tas2r106		387341
ENSMUSG00000012640	ENSMUST00000139061	Zfp715		69930
