Gene stable ID	Transcript stable ID	Gene name	KEGG Pathway and Enzyme ID	NCBI gene ID
ENSMUSG00000025283	ENSMUST00000026318	Sat1	00330+2.3.1.57	20229
ENSMUSG00000091651	ENSMUST00000170402	Vmn2r36		100042653
ENSMUSG00000071149	ENSMUST00000095394	Tas2r115		
ENSMUSG00000025986	ENSMUST00000185520	Slc39a10		227059
ENSMUSG00000019775	ENSMUST00000064225	Rgs17		56533
ENSMUSG00000032481	ENSMUST00000098355	Smarcc1		20588
ENSMUSG00000004264	ENSMUST00000147974	Phb2		12034
ENSMUSG00000004264	ENSMUST00000130279	Phb2		12034
ENSMUSG00000032042	ENSMUST00000034541	Srpr		67398
ENSMUSG00000060412	ENSMUST00000076150	Tas2r124		387351
ENSMUSG00000051910	ENSMUST00000169129	Sox6		20679
ENSMUSG00000029089	ENSMUST00000196950	5730480H06Rik		66768
ENSMUSG00000029089	ENSMUST00000196950	5730480H06Rik		70592
ENSMUSG00000056481	ENSMUST00000070630	Cd248		70445
ENSMUSG00000032042	ENSMUST00000132799	Srpr		67398
ENSMUSG00000054594	ENSMUST00000039507	Oscar		232790
ENSMUSG00000035387	ENSMUST00000088146	4930415L06Rik		245511
ENSMUSG00000014301	ENSMUST00000156889	Pam16		66449
ENSMUSG00000031552	ENSMUST00000033957	Adam18		13524
ENSMUSG00000056901	ENSMUST00000069268	Tas2r102		387339
ENSMUSG00000041773	ENSMUST00000041623	Enc1		13803
ENSMUSG00000030544	ENSMUST00000032760	Mesp1		
ENSMUSG00000026781	ENSMUST00000028121	Acbd5		74159
ENSMUSG00000054594	ENSMUST00000108645	Oscar		232790
ENSMUSG00000031552	ENSMUST00000138232	Adam18		13524
ENSMUSG00000054594	ENSMUST00000148012	Oscar		232790
ENSMUSG00000031552	ENSMUST00000173833	Adam18		13524
ENSMUSG00000029089	ENSMUST00000030968	5730480H06Rik		66768
ENSMUSG00000029089	ENSMUST00000030968	5730480H06Rik		70592
ENSMUSG00000005893	ENSMUST00000113460	Nr2c2		22026
ENSMUSG00000053217	ENSMUST00000065532	Tas2r136		353165
ENSMUSG00000051910	ENSMUST00000206369	Sox6		20679
ENSMUSG00000025283	ENSMUST00000152463	Sat1		20229
ENSMUSG00000043060	ENSMUST00000059833	Fscb		623046
ENSMUSG00000005893	ENSMUST00000113463	Nr2c2		22026
ENSMUSG00000051910	ENSMUST00000205405	Sox6		20679
ENSMUSG00000026781	ENSMUST00000227809	Acbd5		74159
ENSMUSG00000065952	ENSMUST00000136592	C330021F23Rik		546049
ENSMUSG00000014301	ENSMUST00000014445	Pam16		66449
ENSMUSG00000068739	ENSMUST00000090553	Sars	00970+6.1.1.11	20226
ENSMUSG00000067995	ENSMUST00000088922	Gtf2f2		68705
ENSMUSG00000058349	ENSMUST00000068302	Tas2r117		
ENSMUSG00000005893	ENSMUST00000133133	Nr2c2		22026
ENSMUSG00000026781	ENSMUST00000144088	Acbd5		74159
ENSMUSG00000065952	ENSMUST00000151633	C330021F23Rik		546049
ENSMUSG00000065952	ENSMUST00000086479	C330021F23Rik		546049
ENSMUSG00000005893	ENSMUST00000146175	Nr2c2		22026
ENSMUSG00000047583	ENSMUST00000052774	Tyw3		209584
ENSMUSG00000029089	ENSMUST00000200566	5730480H06Rik		66768
ENSMUSG00000029089	ENSMUST00000200566	5730480H06Rik		70592
ENSMUSG00000115466	ENSMUST00000105159	Vmn1r3		
ENSMUSG00000046523	ENSMUST00000050120	Kctd4		
ENSMUSG00000029089	ENSMUST00000195960	5730480H06Rik		66768
ENSMUSG00000029089	ENSMUST00000195960	5730480H06Rik		70592
ENSMUSG00000047583	ENSMUST00000122976	Tyw3		209584
ENSMUSG00000068739	ENSMUST00000102625	Sars	00970+6.1.1.11	20226
ENSMUSG00000047583	ENSMUST00000170461	Tyw3		209584
ENSMUSG00000068739	ENSMUST00000132467	Sars	00970+6.1.1.11	20226
ENSMUSG00000008489	ENSMUST00000107110	Elavl2		15569
ENSMUSG00000094511	ENSMUST00000186047	Gm21693		
ENSMUSG00000068739	ENSMUST00000153499	Sars	00970+6.1.1.11	20226
ENSMUSG00000025283	ENSMUST00000112551	Sat1	00330+2.3.1.57	20229
ENSMUSG00000038736	ENSMUST00000227843	Nudcd1		
ENSMUSG00000094511	ENSMUST00000178531	Gm21693		
ENSMUSG00000038736	ENSMUST00000038719	Nudcd1		
ENSMUSG00000061451	ENSMUST00000140389	Tmem151a		381199
ENSMUSG00000038736	ENSMUST00000226606	Nudcd1		
ENSMUSG00000061451	ENSMUST00000151413	Tmem151a		381199
ENSMUSG00000024833	ENSMUST00000025752	Pola2		18969
ENSMUSG00000029992	ENSMUST00000113657	Gfpt1		14583
ENSMUSG00000056863	ENSMUST00000219803	Olfr702		
ENSMUSG00000061451	ENSMUST00000077066	Tmem151a		381199
ENSMUSG00000056863	ENSMUST00000208895	Olfr702		
ENSMUSG00000056863	ENSMUST00000208864	Olfr702		
ENSMUSG00000051910	ENSMUST00000205479	Sox6		20679
ENSMUSG00000050876	ENSMUST00000224982	Spata31d1a		72219
ENSMUSG00000021621	ENSMUST00000022121	Zcchc9		69085
ENSMUSG00000024833	ENSMUST00000165143	Pola2		18969
ENSMUSG00000056863	ENSMUST00000080899	Olfr702		
ENSMUSG00000024833	ENSMUST00000235535	Pola2		18969
ENSMUSG00000021621	ENSMUST00000070886	Zcchc9		69085
ENSMUSG00000051910	ENSMUST00000206123	Sox6		20679
ENSMUSG00000050876	ENSMUST00000066510	Spata31d1a		72219
ENSMUSG00000094370	ENSMUST00000177556	Gm3373		
ENSMUSG00000026854	ENSMUST00000102849	Usp20		74270
ENSMUSG00000094370	ENSMUST00000169087	Gm3373		
ENSMUSG00000050876	ENSMUST00000224469	Spata31d1a		72219
ENSMUSG00000008489	ENSMUST00000008633	Elavl2		15569
ENSMUSG00000090547	ENSMUST00000170469	Gm8265		
ENSMUSG00000026854	ENSMUST00000061544	Usp20		74270
ENSMUSG00000051910	ENSMUST00000072804	Sox6		20679
ENSMUSG00000026781	ENSMUST00000226571	Acbd5		74159
ENSMUSG00000051910	ENSMUST00000166877	Sox6		20679
ENSMUSG00000096470	ENSMUST00000165814	Gm9603		
ENSMUSG00000020953	ENSMUST00000164782	Coch		12810
ENSMUSG00000045268	ENSMUST00000052715	Zfp691		195522
ENSMUSG00000040859	ENSMUST00000048162	Bsdc1		100383
ENSMUSG00000051910	ENSMUST00000106612	Sox6		20679
ENSMUSG00000048387	ENSMUST00000217975	Osr1		23967
ENSMUSG00000026854	ENSMUST00000138161	Usp20		74270
ENSMUSG00000051910	ENSMUST00000166207	Sox6		20679
ENSMUSG00000020986	ENSMUST00000021375	Sec23a		20334
ENSMUSG00000026854	ENSMUST00000142232	Usp20		74270
ENSMUSG00000045268	ENSMUST00000106355	Zfp691		195522
ENSMUSG00000020986	ENSMUST00000165134	Sec23a		20334
ENSMUSG00000020953	ENSMUST00000085412	Coch		12810
ENSMUSG00000022338	ENSMUST00000226355	Eny2		223527
ENSMUSG00000026854	ENSMUST00000125601	Usp20		74270
ENSMUSG00000096629	ENSMUST00000112758	Gm3383		101055754
ENSMUSG00000045268	ENSMUST00000154226	Zfp691		195522
ENSMUSG00000026854	ENSMUST00000128295	Usp20		74270
ENSMUSG00000096629	ENSMUST00000178414	Gm3383		101055754
ENSMUSG00000045268	ENSMUST00000179290	Zfp691		195522
ENSMUSG00000048387	ENSMUST00000057021	Osr1		23967
ENSMUSG00000079559	ENSMUST00000215038	Colca2		100502940
ENSMUSG00000030543	ENSMUST00000107394	Mesp2		17293
ENSMUSG00000026854	ENSMUST00000136588	Usp20		74270
ENSMUSG00000079559	ENSMUST00000114427	Colca2		100502940
