Gene stable ID	Transcript stable ID	NCBI gene (formerly Entrezgene) ID	Gene name
ENSCAFG00000003210	ENSCAFT00000005165	608080	FHL3
ENSCAFG00000003222	ENSCAFT00000005182	475326	
ENSCAFG00000003236	ENSCAFT00000005195	100686373	INPP5B
ENSCAFG00000026915	ENSCAFT00000041198		U6
ENSCAFG00000003247	ENSCAFT00000005215	608127	MTF1
ENSCAFG00000028619	ENSCAFT00000049635	608140	C15H1orf122
ENSCAFG00000003253	ENSCAFT00000060457	100855794	YRDC
ENSCAFG00000003253	ENSCAFT00000005221	100855794	YRDC
ENSCAFG00000003255	ENSCAFT00000005223	100855849	MANEAL
ENSCAFG00000003269	ENSCAFT00000005246		
ENSCAFG00000043483	ENSCAFT00000065224		
ENSCAFG00000003278	ENSCAFT00000005257	608164	CDCA8
ENSCAFG00000032511	ENSCAFT00000050048	608173	C15H1orf109
ENSCAFG00000032511	ENSCAFT00000074730	608173	C15H1orf109
ENSCAFG00000003280	ENSCAFT00000072711	608179	RSPO1
ENSCAFG00000003280	ENSCAFT00000005262	608179	RSPO1
ENSCAFG00000041074	ENSCAFT00000086315		
ENSCAFG00000041074	ENSCAFT00000067685		
ENSCAFG00000041074	ENSCAFT00000070935		
ENSCAFG00000041074	ENSCAFT00000078068		
ENSCAFG00000046996	ENSCAFT00000085680		
ENSCAFG00000049458	ENSCAFT00000074252		
ENSCAFG00000004548	ENSCAFT00000007319	106559825	
ENSCAFG00000036494	ENSCAFT00000055921		
ENSCAFG00000037287	ENSCAFT00000058158		
ENSCAFG00000032283	ENSCAFT00000046738		
ENSCAFG00000005712	ENSCAFT00000009212	482574	ZDHHC17
ENSCAFG00000041839	ENSCAFT00000082490		
ENSCAFG00000041839	ENSCAFT00000081595		
ENSCAFG00000041839	ENSCAFT00000073123		
ENSCAFG00000041839	ENSCAFT00000079459		
ENSCAFG00000041839	ENSCAFT00000067663		
ENSCAFG00000041839	ENSCAFT00000069494		
ENSCAFG00000003517	ENSCAFT00000005658	482725	OR6B1
ENSCAFG00000034030	ENSCAFT00000067073		
ENSCAFG00000034030	ENSCAFT00000063586		
ENSCAFG00000034030	ENSCAFT00000050789		
ENSCAFG00000049559	ENSCAFT00000069327		
ENSCAFG00000049559	ENSCAFT00000081232		
ENSCAFG00000049559	ENSCAFT00000077693		
ENSCAFG00000049559	ENSCAFT00000074499		
ENSCAFG00000029424	ENSCAFT00000048690	100687780	REPIN1
ENSCAFG00000029424	ENSCAFT00000069056	100687780	REPIN1
ENSCAFG00000026389	ENSCAFT00000040672		U1
ENSCAFG00000036640	ENSCAFT00000054614		
ENSCAFG00000036640	ENSCAFT00000081454		
ENSCAFG00000036640	ENSCAFT00000061170		
ENSCAFG00000036640	ENSCAFT00000051979		
ENSCAFG00000036640	ENSCAFT00000091530		
ENSCAFG00000036640	ENSCAFT00000056532		
ENSCAFG00000036640	ENSCAFT00000084765		
ENSCAFG00000036640	ENSCAFT00000060187		
ENSCAFG00000036640	ENSCAFT00000086665		
ENSCAFG00000036640	ENSCAFT00000062846		
ENSCAFG00000045117	ENSCAFT00000068248		
ENSCAFG00000045117	ENSCAFT00000074475		
ENSCAFG00000041649	ENSCAFT00000077103		
ENSCAFG00000030832	ENSCAFT00000045655	100685093	TDRD15
ENSCAFG00000030832	ENSCAFT00000085468	100685093	TDRD15
ENSCAFG00000006176	ENSCAFT00000071180	482852	RAB11FIP1
ENSCAFG00000006176	ENSCAFT00000044766	482852	RAB11FIP1
ENSCAFG00000006176	ENSCAFT00000009990	482852	RAB11FIP1
ENSCAFG00000006176	ENSCAFT00000074816	482852	RAB11FIP1
ENSCAFG00000040175	ENSCAFT00000070072		
ENSCAFG00000040175	ENSCAFT00000053197		
ENSCAFG00000034231	ENSCAFT00000057519		
ENSCAFG00000008392	ENSCAFT00000013338	475639	NEIL3
ENSCAFG00000008392	ENSCAFT00000091152	475639	NEIL3
ENSCAFG00000008392	ENSCAFT00000050176	475639	NEIL3
ENSCAFG00000008392	ENSCAFT00000047749	475639	NEIL3
ENSCAFG00000048497	ENSCAFT00000061459		
ENSCAFG00000048497	ENSCAFT00000077408		
ENSCAFG00000048497	ENSCAFT00000080040		
ENSCAFG00000048497	ENSCAFT00000071216		
ENSCAFG00000048497	ENSCAFT00000066342		
ENSCAFG00000048497	ENSCAFT00000091096		
ENSCAFG00000048497	ENSCAFT00000068861		
ENSCAFG00000044372	ENSCAFT00000093189		
ENSCAFG00000045031	ENSCAFT00000065529		U4
ENSCAFG00000044128	ENSCAFT00000083302		
ENSCAFG00000044128	ENSCAFT00000064914		
ENSCAFG00000023594	ENSCAFT00000036373		
ENSCAFG00000043708	ENSCAFT00000064804		
ENSCAFG00000027853	ENSCAFT00000042136		U6
ENSCAFG00000044891	ENSCAFT00000084699		
ENSCAFG00000008175	ENSCAFT00000013000	475780	MRPL19
ENSCAFG00000042130	ENSCAFT00000059551		
ENSCAFG00000042130	ENSCAFT00000062923		
ENSCAFG00000045829	ENSCAFT00000082504		
ENSCAFG00000045098	ENSCAFT00000061960		
ENSCAFG00000043169	ENSCAFT00000070569		
ENSCAFG00000005718	ENSCAFT00000009215	482575	E2F7
ENSCAFG00000005718	ENSCAFT00000086462	482575	E2F7
ENSCAFG00000028104	ENSCAFT00000042387		U6
ENSCAFG00000043892	ENSCAFT00000092697		
ENSCAFG00000043892	ENSCAFT00000081093		
ENSCAFG00000043892	ENSCAFT00000076629		
ENSCAFG00000043892	ENSCAFT00000074847		
ENSCAFG00000044778	ENSCAFT00000072205		
ENSCAFG00000008141	ENSCAFT00000082966	475465	FBXW7
ENSCAFG00000008141	ENSCAFT00000065773	475465	FBXW7
ENSCAFG00000008141	ENSCAFT00000074984	475465	FBXW7
ENSCAFG00000008141	ENSCAFT00000012962	475465	FBXW7
ENSCAFG00000023039	ENSCAFT00000011050		
ENSCAFG00000042693	ENSCAFT00000059627		
ENSCAFG00000042693	ENSCAFT00000087390		
ENSCAFG00000042693	ENSCAFT00000093053		
ENSCAFG00000042693	ENSCAFT00000072317		
ENSCAFG00000028905	ENSCAFT00000049792	475359	CDKN2C
ENSCAFG00000045445	ENSCAFT00000093621		
ENSCAFG00000047263	ENSCAFT00000075371		
ENSCAFG00000045344	ENSCAFT00000075956		
ENSCAFG00000033149	ENSCAFT00000059113		
ENSCAFG00000033149	ENSCAFT00000082665		
ENSCAFG00000029411	ENSCAFT00000043748	482726	
ENSCAFG00000004551	ENSCAFT00000007322		
ENSCAFG00000037555	ENSCAFT00000054574		
ENSCAFG00000037555	ENSCAFT00000078529		
ENSCAFG00000037555	ENSCAFT00000085233		
ENSCAFG00000039189	ENSCAFT00000054179		
ENSCAFG00000043800	ENSCAFT00000061943		
ENSCAFG00000006213	ENSCAFT00000010038	476826	UBQLN3
ENSCAFG00000043923	ENSCAFT00000075788		
ENSCAFG00000043923	ENSCAFT00000061028		
ENSCAFG00000044863	ENSCAFT00000081895		
ENSCAFG00000044863	ENSCAFT00000078945		
ENSCAFG00000048475	ENSCAFT00000078823		
ENSCAFG00000036716	ENSCAFT00000052046	111090645	
ENSCAFG00000036716	ENSCAFT00000053497	111090645	
ENSCAFG00000036545	ENSCAFT00000059164		
ENSCAFG00000006163	ENSCAFT00000072249	475424	EEA1
ENSCAFG00000006163	ENSCAFT00000078708	475424	EEA1
ENSCAFG00000006163	ENSCAFT00000066147	475424	EEA1
ENSCAFG00000006163	ENSCAFT00000082988	475424	EEA1
ENSCAFG00000006163	ENSCAFT00000044773	475424	EEA1
ENSCAFG00000006163	ENSCAFT00000069019	475424	EEA1
ENSCAFG00000006163	ENSCAFT00000009971	475424	EEA1
ENSCAFG00000006163	ENSCAFT00000092742	475424	EEA1
ENSCAFG00000032377	ENSCAFT00000048331	483095	EVA1A
ENSCAFG00000032377	ENSCAFT00000086405	483095	EVA1A
ENSCAFG00000032377	ENSCAFT00000076993	483095	EVA1A
ENSCAFG00000030191	ENSCAFT00000045742	482727	cOR13M4
ENSCAFG00000030191	ENSCAFT00000045742	100687207	cOR13M4
ENSCAFG00000004811	ENSCAFT00000007758	475385	DMAP1
ENSCAFG00000042258	ENSCAFT00000090338	483501	
ENSCAFG00000040311	ENSCAFT00000052218		
ENSCAFG00000012944	ENSCAFT00000035159	100685284	TCHHL1
ENSCAFG00000007716	ENSCAFT00000012369		
ENSCAFG00000049364	ENSCAFT00000063238		
ENSCAFG00000013350	ENSCAFT00000068025	483730	SIPA1
ENSCAFG00000013350	ENSCAFT00000021198	483730	SIPA1
ENSCAFG00000041447	ENSCAFT00000074694		
ENSCAFG00000011357	ENSCAFT00000018045	475826	PEX11B
ENSCAFG00000011357	ENSCAFT00000049069	475826	PEX11B
ENSCAFG00000011357	ENSCAFT00000072809	475826	PEX11B
ENSCAFG00000009453	ENSCAFT00000015028	609979	ALX4
ENSCAFG00000010772	ENSCAFT00000017134	404001	GAL
ENSCAFG00000043428	ENSCAFT00000082755		cfa-mir-8808
ENSCAFG00000041964	ENSCAFT00000062023		U2
ENSCAFG00000024525	ENSCAFT00000037857	102152113	
ENSCAFG00000044531	ENSCAFT00000068947	483502	OR5AK2
ENSCAFG00000045940	ENSCAFT00000083352		
ENSCAFG00000039915	ENSCAFT00000054810		
ENSCAFG00000050027	ENSCAFT00000074239	606890	
ENSCAFG00000029291	ENSCAFT00000005659	482728	
ENSCAFG00000004495	ENSCAFT00000066226	100686384	CCDC174
ENSCAFG00000004495	ENSCAFT00000007247	100686384	CCDC174
ENSCAFG00000043541	ENSCAFT00000063302		
ENSCAFG00000043541	ENSCAFT00000081413		
ENSCAFG00000004555	ENSCAFT00000007329	475532	RARRES2
ENSCAFG00000004555	ENSCAFT00000059498	475532	RARRES2
ENSCAFG00000005621	ENSCAFT00000009043	484680	BHLHE40
ENSCAFG00000005012	ENSCAFT00000008057	606939	TMEM163
ENSCAFG00000009481	ENSCAFT00000080708	484736	SEMA3G
ENSCAFG00000009481	ENSCAFT00000015081	484736	SEMA3G
ENSCAFG00000019218	ENSCAFT00000030504	100686723	C20H19orf71
ENSCAFG00000020766	ENSCAFT00000032873		U6
ENSCAFG00000005637	ENSCAFT00000071421	476145	MMADHC
ENSCAFG00000005637	ENSCAFT00000009067	476145	MMADHC
ENSCAFG00000012041	ENSCAFT00000019122	476633	ARIH2
ENSCAFG00000042400	ENSCAFT00000087690		
ENSCAFG00000003903	ENSCAFT00000006287	608231	FAF1
ENSCAFG00000003903	ENSCAFT00000044054	608231	FAF1
ENSCAFG00000030077	ENSCAFT00000043601		
ENSCAFG00000045069	ENSCAFT00000079972		
ENSCAFG00000046009	ENSCAFT00000076331	483396	
ENSCAFG00000046009	ENSCAFT00000082278	483396	
ENSCAFG00000046009	ENSCAFT00000091950	483396	
ENSCAFG00000046009	ENSCAFT00000085931	483396	
ENSCAFG00000007966	ENSCAFT00000012740	485849	MMP24
ENSCAFG00000037669	ENSCAFT00000072853		
ENSCAFG00000037669	ENSCAFT00000087063		
ENSCAFG00000037669	ENSCAFT00000052175		
ENSCAFG00000037669	ENSCAFT00000053610		
ENSCAFG00000003916	ENSCAFT00000006294	482991	KLHL29
ENSCAFG00000008409	ENSCAFT00000013360	482932	VEGFC
ENSCAFG00000004733	ENSCAFT00000084170	476932	DGKH
ENSCAFG00000004733	ENSCAFT00000083025	476932	DGKH
ENSCAFG00000004733	ENSCAFT00000079624	476932	DGKH
ENSCAFG00000004733	ENSCAFT00000007625	476932	DGKH
ENSCAFG00000029020	ENSCAFT00000010042		
ENSCAFG00000003951	ENSCAFT00000006347		
ENSCAFG00000007918	ENSCAFT00000012644		
ENSCAFG00000031735	ENSCAFT00000066456	485545	TNFSF13B
ENSCAFG00000031735	ENSCAFT00000044236	485545	TNFSF13B
ENSCAFG00000043344	ENSCAFT00000012749	100688997	
ENSCAFG00000006965	ENSCAFT00000011176	485819	TRIB3
ENSCAFG00000014218	ENSCAFT00000089492	484808	NCAN
ENSCAFG00000014218	ENSCAFT00000022594	484808	NCAN
ENSCAFG00000023401	ENSCAFT00000025291	484867	
ENSCAFG00000023401	ENSCAFT00000080363	484867	
ENSCAFG00000023401	ENSCAFT00000025271	484867	
ENSCAFG00000023401	ENSCAFT00000064057	484867	
ENSCAFG00000023401	ENSCAFT00000082644	484867	
ENSCAFG00000023401	ENSCAFT00000084929	484867	
ENSCAFG00000023401	ENSCAFT00000025276	484867	
ENSCAFG00000023401	ENSCAFT00000089493	484867	
ENSCAFG00000023401	ENSCAFT00000067519	484867	
ENSCAFG00000023401	ENSCAFT00000025291	484868	
ENSCAFG00000023401	ENSCAFT00000080363	484868	
ENSCAFG00000023401	ENSCAFT00000025271	484868	
ENSCAFG00000023401	ENSCAFT00000064057	484868	
ENSCAFG00000023401	ENSCAFT00000082644	484868	
ENSCAFG00000023401	ENSCAFT00000084929	484868	
ENSCAFG00000023401	ENSCAFT00000025276	484868	
ENSCAFG00000023401	ENSCAFT00000089493	484868	
ENSCAFG00000023401	ENSCAFT00000067519	484868	
ENSCAFG00000004371	ENSCAFT00000007022	485564	ENTPD6
ENSCAFG00000004371	ENSCAFT00000090632	485564	ENTPD6
ENSCAFG00000004371	ENSCAFT00000038492	485564	ENTPD6
ENSCAFG00000004371	ENSCAFT00000080003	485564	ENTPD6
ENSCAFG00000004371	ENSCAFT00000093870	485564	ENTPD6
ENSCAFG00000004371	ENSCAFT00000090019	485564	ENTPD6
ENSCAFG00000043379	ENSCAFT00000076980		
ENSCAFG00000003528	ENSCAFT00000043653	482730	TCAF1
ENSCAFG00000003528	ENSCAFT00000005664	482730	TCAF1
ENSCAFG00000008188	ENSCAFT00000013019	610807	RHOF
ENSCAFG00000008188	ENSCAFT00000069895	610807	RHOF
ENSCAFG00000008245	ENSCAFT00000080006	476863	FAR1
ENSCAFG00000008245	ENSCAFT00000083917	476863	FAR1
